regiao;estado;data;casosAcumulados;obitosAcumulados
Norte;AC;2020-02-27;0;0
Norte;AM;2020-02-27;0;0
Norte;RR;2020-02-27;0;0
Norte;PA;2020-02-27;0;0
Norte;AP;2020-02-27;0;0
Norte;TO;2020-02-27;0;0
Nordeste;MA;2020-02-27;0;0
Nordeste;PI;2020-02-27;0;0
Nordeste;CE;2020-02-27;0;0
Nordeste;RN;2020-02-27;0;0
Nordeste;PB;2020-02-27;0;0
Nordeste;PE;2020-02-27;0;0
Nordeste;AL;2020-02-27;0;0
Nordeste;SE;2020-02-27;0;0
Nordeste;BA;2020-02-27;0;0
Sudeste;MG;2020-02-27;0;0
Sudeste;ES;2020-02-27;0;0
Sudeste;RJ;2020-02-27;0;0
Sudeste;SP;2020-02-27;1;0
Sul;PR;2020-02-27;0;0
Sul;SC;2020-02-27;0;0
Sul;RS;2020-02-27;0;0
Centro-Oeste;MS;2020-02-27;0;0
Centro-Oeste;MT;2020-02-27;0;0
Centro-Oeste;GO;2020-02-27;0;0
Centro-Oeste;DF;2020-02-27;0;0
Norte;RO;2020-02-26;0;0
Norte;AC;2020-02-26;0;0
Norte;AM;2020-02-26;0;0
Norte;RR;2020-02-26;0;0
Norte;PA;2020-02-26;0;0
Norte;AP;2020-02-26;0;0
Norte;TO;2020-02-26;0;0
Nordeste;MA;2020-02-26;0;0
Nordeste;PI;2020-02-26;0;0
Nordeste;CE;2020-02-26;0;0
Nordeste;RN;2020-02-26;0;0
Nordeste;PB;2020-02-26;0;0
Nordeste;PE;2020-02-26;0;0
Nordeste;AL;2020-02-26;0;0
Nordeste;SE;2020-02-26;0;0
Nordeste;BA;2020-02-26;0;0
Sudeste;MG;2020-02-26;0;0
Sudeste;ES;2020-02-26;0;0
Sudeste;RJ;2020-02-26;0;0
Sudeste;SP;2020-02-26;1;0
Sul;PR;2020-02-26;0;0
Sul;SC;2020-02-26;0;0
Sul;RS;2020-02-26;0;0
Centro-Oeste;MS;2020-02-26;0;0
Centro-Oeste;MT;2020-02-26;0;0
Centro-Oeste;GO;2020-02-26;0;0
Centro-Oeste;DF;2020-02-26;0;0
Norte;RO;2020-02-25;0;0
Norte;AC;2020-02-25;0;0
Norte;AM;2020-02-25;0;0
Norte;RR;2020-02-25;0;0
Norte;PA;2020-02-25;0;0
Norte;AP;2020-02-25;0;0
Norte;TO;2020-02-25;0;0
Nordeste;MA;2020-02-25;0;0
Nordeste;PI;2020-02-25;0;0
Nordeste;CE;2020-02-25;0;0
Nordeste;RN;2020-02-25;0;0
Nordeste;PB;2020-02-25;0;0
Nordeste;PE;2020-02-25;0;0
Nordeste;AL;2020-02-25;0;0
Nordeste;SE;2020-02-25;0;0
Nordeste;BA;2020-02-25;0;0
Sudeste;MG;2020-02-25;0;0
Sudeste;ES;2020-02-25;0;0
Sudeste;RJ;2020-02-25;0;0
Sudeste;SP;2020-02-25;0;0
Sul;PR;2020-02-25;0;0
Sul;SC;2020-02-25;0;0
Sul;RS;2020-02-25;0;0
Centro-Oeste;MS;2020-02-25;0;0
Centro-Oeste;MT;2020-02-25;0;0
Centro-Oeste;GO;2020-02-25;0;0
Centro-Oeste;DF;2020-02-25;0;0
